method,Output,nCell,FOSCTTM,Cell match
bindSC,Embedding,12138,0.132,0.004
GLUE,Embedding,12138,0.042,0.039
LIGER iNMF,Embedding,12138,0.209,0.002
LIGER online iNMF,Embedding,12138,0.222,0.001
LIGER UINMF,Embedding,12138,0.233,0.002
MaxFuse,Embedding,12138,0.179,0.009
MultiMAP,Embedding,12138,0.161,0.004
Pamona,Embedding,12138,0.517,0
SCALEX,Embedding,12138,0.133,0.007
Seurat v3 CCA,Embedding,12138,0.059,0.018
Seurat v4 RPCA,Embedding,12138,0.102,0.017
SIMBA,Embedding,12138,0.102,0.01
uniPort,Embedding,12138,0.062,0.019
bindSC,Embedding,12138,0.132,0.004
GLUE,Embedding,12138,0.042,0.037
LIGER iNMF,Embedding,12138,0.209,0.002
LIGER online iNMF,Embedding,12138,0.222,0.001
MaxFuse,Embedding,12138,0.178,0.01
MultiMAP,Embedding,12138,0.161,0.004
Pamona,Embedding,12138,0.517,0
SCALEX,Embedding,12138,0.133,0.007
Seurat v3 CCA,Embedding,12138,0.059,0.018
Seurat v4 RPCA,Embedding,12138,0.102,0.017
SIMBA,Embedding,12138,0.102,0.009
uniPort,Embedding,12138,0.062,0.019
bindSC,Embedding,12138,0.132,0.004
GLUE,Embedding,12138,0.041,0.04
LIGER iNMF,Embedding,12138,0.209,0.002
LIGER online iNMF,Embedding,12138,0.222,0.001
MaxFuse,Embedding,12138,0.18,0.009
MultiMAP,Embedding,12138,0.161,0.004
Pamona,Embedding,12138,0.517,0
SCALEX,Embedding,12138,0.133,0.007
Seurat v3 CCA,Embedding,12138,0.059,0.018
Seurat v4 RPCA,Embedding,12138,0.102,0.017
SIMBA,Embedding,12138,0.107,0.01
uniPort,Embedding,12138,0.062,0.019
bindSC,Embedding,12138,0.132,0.004
GLUE,Embedding,12138,0.043,0.04
LIGER iNMF,Embedding,12138,0.209,0.002
LIGER online iNMF,Embedding,12138,0.222,0.001
MaxFuse,Embedding,12138,0.179,0.011
MultiMAP,Embedding,12138,0.161,0.004
Pamona,Embedding,12138,0.517,0
SCALEX,Embedding,12138,0.133,0.007
Seurat v3 CCA,Embedding,12138,0.059,0.018
Seurat v4 RPCA,Embedding,12138,0.102,0.017
SIMBA,Embedding,12138,0.107,0.009
uniPort,Embedding,12138,0.062,0.019
bindSC,Embedding,12138,0.132,0.004
GLUE,Embedding,12138,0.043,0.04
LIGER iNMF,Embedding,12138,0.209,0.002
LIGER online iNMF,Embedding,12138,0.222,0.001
MaxFuse,Embedding,12138,0.176,0.011
MultiMAP,Embedding,12138,0.161,0.004
Pamona,Embedding,12138,0.517,0
SCALEX,Embedding,12138,0.133,0.007
Seurat v3 CCA,Embedding,12138,0.059,0.018
Seurat v4 RPCA,Embedding,12138,0.102,0.017
SIMBA,Embedding,12138,0.107,0.01
uniPort,Embedding,12138,0.062,0.019
LIGER UINMF,Embedding,12138,0.233,0.002
LIGER UINMF,Embedding,12138,0.233,0.002
LIGER UINMF,Embedding,12138,0.233,0.002
LIGER UINMF,Embedding,12138,0.233,0.002
