method,Output,nCell,ARI.RNA,ARI level 1.RNA,AMI.RNA,AMI level 1.RNA,graph cLISI.RNA,graph cLISI level 1.RNA,isolated labels ASW.RNA,isolated labels ASW level 1.RNA,ARI.ATAC,ARI level 1.ATAC,AMI.ATAC,AMI level 1.ATAC,graph cLISI.ATAC,graph cLISI level 1.ATAC,isolated labels ASW.ATAC,isolated labels ASW level 1.ATAC,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,RNA,ATAC
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641,100,100
GLUE,Embedding,6924,0.661,0.582,0.77,0.716,0.98,0.984,0.523,0.5,0.641,0.605,0.744,0.722,0.98,0.985,0.421,0.49,0.039,0.015,0.745,0.859,100,100
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525,100,100
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573,100,100
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286,100,100
MaxFuse,Embedding,6924,0.682,0.603,0.755,0.706,0.973,0.973,0.583,0.547,0.559,0.5,0.712,0.673,0.98,0.986,0.499,0.631,0.135,0.008,0.699,0.822,100,100
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772,100,100
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105,100,100
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756,100,100
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825,100,100
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79,100,100
SIMBA,Embedding,6924,0.63,0.561,0.736,0.691,0.979,0.981,0.58,0.507,0.514,0.576,0.659,0.671,0.963,0.971,0.525,0.564,0.102,0.004,0.589,0.766,100,100
unionCom,Embedding,6924,0.462,0.375,0.692,0.638,0.982,0.989,0.365,0.505,0.428,0.458,0.64,0.642,0.969,0.98,0.314,0.548,0.044,0.006,0.653,0.81,100,100
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819,100,100
bindSC,Embedding,6924,0.324,0.395,0.49,0.505,0.929,0.886,0.487,0.407,0.276,0.307,0.506,0.516,0.938,0.915,0.549,0.576,0.184,0.001,0.32,0.529,100,10
GLUE,Embedding,6924,0.632,0.542,0.749,0.691,0.981,0.983,0.52,0.509,0.552,0.609,0.68,0.684,0.962,0.967,0.457,0.476,0.068,0.007,0.685,0.824,100,10
LIGER iNMF,Embedding,6924,0.528,0.487,0.718,0.672,0.978,0.982,0.553,0.527,0.295,0.414,0.382,0.423,0.888,0.831,0.485,0.44,0.289,0.001,0.226,0.402,100,10
LIGER online iNMF,Embedding,6924,0.416,0.436,0.636,0.616,0.957,0.951,0.478,0.518,0.099,0.139,0.174,0.187,0.812,0.687,0.451,0.45,0.353,0.001,0.298,0.458,100,10
LIGER UINMF,Embedding,6924,0.506,0.455,0.7,0.657,0.98,0.983,0.578,0.517,0.271,0.366,0.372,0.411,0.895,0.845,0.396,0.415,0.383,0,0.276,0.432,100,10
MaxFuse,Embedding,6924,0.474,0.564,0.623,0.655,0.908,0.832,0.589,0.531,0.348,0.477,0.521,0.564,0.93,0.895,0.523,0.607,0.297,0.001,0.433,0.601,100,10
MultiMAP,Embedding,6924,0.223,0.213,0.534,0.524,0.958,0.962,0.649,0.539,0.165,0.171,0.396,0.401,0.928,0.882,0.468,0.564,0.231,0.001,0.402,0.592,100,10
Pamona,Embedding,6924,0.047,0.043,0.159,0.146,0.804,0.675,0.46,0.477,0.005,0.004,0.031,0.022,0.674,0.433,0.464,0.526,0.503,0,0.097,0.144,100,10
SCALEX,Embedding,6924,0.586,0.585,0.706,0.689,0.967,0.97,0.581,0.512,0.243,0.302,0.342,0.374,0.863,0.79,0.499,0.541,0.209,0.002,0.442,0.637,100,10
Seurat v3 CCA,Embedding,6924,0.445,0.421,0.664,0.626,0.966,0.966,0.599,0.532,0.293,0.334,0.501,0.508,0.944,0.915,0.506,0.561,0.333,0,0.255,0.437,100,10
Seurat v4 RPCA,Embedding,6924,0.398,0.399,0.639,0.616,0.966,0.974,0.592,0.529,0.247,0.266,0.474,0.489,0.929,0.892,0.432,0.488,0.167,0.002,0.468,0.644,100,10
SIMBA,Embedding,6924,0.581,0.523,0.719,0.665,0.977,0.978,0.566,0.511,0.252,0.315,0.365,0.395,0.906,0.859,0.496,0.501,0.196,0.001,0.415,0.58,100,10
unionCom,Embedding,6924,0.374,0.323,0.664,0.613,0.981,0.989,0.391,0.496,0.044,0.05,0.092,0.092,0.78,0.637,0.439,0.528,0.353,0,0.156,0.264,100,10
uniPort,Embedding,6924,0.221,0.26,0.349,0.371,0.901,0.844,0.438,0.457,0.601,0.593,0.734,0.702,0.978,0.978,0.573,0.511,0.216,0.002,0.431,0.612,100,10
bindSC,Embedding,6924,0.384,0.427,0.533,0.548,0.938,0.92,0.378,0.423,0.336,0.362,0.574,0.581,0.96,0.968,0.56,0.572,0.136,0.001,0.437,0.643,100,25
GLUE,Embedding,6924,0.622,0.543,0.745,0.694,0.982,0.983,0.536,0.513,0.662,0.609,0.73,0.707,0.976,0.98,0.421,0.504,0.047,0.014,0.732,0.851,100,25
LIGER iNMF,Embedding,6924,0.467,0.458,0.698,0.664,0.98,0.984,0.564,0.532,0.442,0.554,0.554,0.591,0.937,0.917,0.448,0.46,0.256,0.001,0.302,0.422,100,25
LIGER online iNMF,Embedding,6924,0.429,0.421,0.637,0.619,0.961,0.954,0.482,0.513,0.31,0.436,0.409,0.457,0.895,0.835,0.456,0.443,0.31,0.001,0.34,0.496,100,25
LIGER UINMF,Embedding,6924,0.552,0.491,0.71,0.671,0.983,0.982,0.528,0.501,0.439,0.562,0.549,0.601,0.932,0.919,0.425,0.463,0.353,0.001,0.183,0.354,100,25
MaxFuse,Embedding,6924,0.547,0.629,0.679,0.69,0.945,0.923,0.6,0.533,0.472,0.539,0.627,0.635,0.96,0.966,0.546,0.639,0.221,0.002,0.579,0.747,100,25
MultiMAP,Embedding,6924,0.237,0.227,0.565,0.549,0.966,0.97,0.499,0.522,0.219,0.218,0.5,0.494,0.953,0.956,0.426,0.52,0.167,0.002,0.53,0.717,100,25
Pamona,Embedding,6924,0.057,0.053,0.194,0.18,0.829,0.72,0.473,0.474,0.005,0.004,0.029,0.022,0.688,0.454,0.472,0.521,0.503,0,0.103,0.152,100,25
SCALEX,Embedding,6924,0.522,0.559,0.683,0.664,0.967,0.966,0.61,0.527,0.334,0.458,0.48,0.532,0.916,0.876,0.522,0.519,0.153,0.002,0.517,0.688,100,25
Seurat v3 CCA,Embedding,6924,0.471,0.463,0.652,0.64,0.966,0.971,0.595,0.529,0.402,0.371,0.629,0.611,0.97,0.978,0.326,0.516,0.096,0.003,0.607,0.77,100,25
Seurat v4 RPCA,Embedding,6924,0.409,0.38,0.646,0.606,0.967,0.964,0.593,0.53,0.266,0.263,0.547,0.54,0.963,0.969,0.385,0.524,0.126,0.002,0.568,0.716,100,25
SIMBA,Embedding,6924,0.62,0.553,0.743,0.687,0.98,0.977,0.549,0.515,0.42,0.502,0.567,0.592,0.948,0.937,0.514,0.543,0.13,0.002,0.521,0.698,100,25
unionCom,Embedding,6924,0.384,0.338,0.645,0.6,0.979,0.983,0.418,0.502,0.103,0.111,0.149,0.151,0.82,0.69,0.472,0.595,0.305,0,0.15,0.295,100,25
uniPort,Embedding,6924,0.354,0.394,0.524,0.534,0.944,0.927,0.479,0.472,0.595,0.536,0.727,0.678,0.976,0.977,0.585,0.506,0.136,0.003,0.573,0.742,100,25
bindSC,Embedding,6924,0.397,0.504,0.57,0.595,0.945,0.927,0.456,0.395,0.337,0.362,0.583,0.587,0.96,0.97,0.545,0.591,0.125,0.001,0.451,0.65,100,50
GLUE,Embedding,6924,0.624,0.562,0.756,0.706,0.983,0.987,0.515,0.512,0.593,0.585,0.714,0.691,0.976,0.979,0.436,0.503,0.036,0.021,0.762,0.869,100,50
LIGER iNMF,Embedding,6924,0.474,0.456,0.699,0.664,0.98,0.978,0.583,0.532,0.507,0.585,0.617,0.64,0.95,0.943,0.419,0.488,0.28,0.001,0.315,0.565,100,50
LIGER online iNMF,Embedding,6924,0.43,0.435,0.637,0.625,0.959,0.957,0.513,0.512,0.394,0.487,0.503,0.542,0.927,0.885,0.476,0.469,0.281,0.001,0.385,0.554,100,50
LIGER UINMF,Embedding,6924,0.478,0.434,0.687,0.652,0.981,0.982,0.545,0.505,0.366,0.489,0.559,0.61,0.942,0.927,0.409,0.517,0.445,0.001,0.167,0.268,100,50
MaxFuse,Embedding,6924,0.666,0.664,0.755,0.737,0.968,0.967,0.562,0.533,0.519,0.49,0.685,0.657,0.975,0.979,0.508,0.632,0.163,0.004,0.693,0.811,100,50
MultiMAP,Embedding,6924,0.256,0.235,0.574,0.554,0.971,0.978,0.561,0.512,0.251,0.249,0.523,0.523,0.959,0.964,0.437,0.599,0.153,0.002,0.571,0.748,100,50
Pamona,Embedding,6924,0.105,0.104,0.312,0.308,0.878,0.811,0.493,0.465,0.008,0.008,0.036,0.028,0.703,0.481,0.459,0.489,0.509,0,0.077,0.113,100,50
SCALEX,Embedding,6924,0.496,0.51,0.659,0.638,0.966,0.966,0.61,0.523,0.398,0.453,0.548,0.566,0.938,0.925,0.461,0.528,0.139,0.003,0.534,0.728,100,50
