method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1
MIDAS,Embedding,21500,0.9435,0.9643,0.9512,0.6994,0.569,0.5269,0.7581,0.7311,0.9902,0.9975,0.5366,0.5621
MIDAS,Embedding,21500,0.9031,0.9577,0.9533,0.3969,0.5617,0.5748,0.7471,0.7414,0.9906,0.9978,0.5497,0.5628
MIDAS,Embedding,21500,0.9394,0.9734,0.9513,0.5643,0.4715,0.4833,0.7398,0.7187,0.9905,0.9975,0.5465,0.5664
MIDAS,Embedding,21500,0.8852,0.9607,0.9555,0.3722,0.4706,0.5025,0.7381,0.724,0.9893,0.9978,0.5529,0.5681
MIDAS,Embedding,21500,0.9462,0.9555,0.9492,0.7148,0.503,0.4976,0.7391,0.7176,0.9904,0.998,0.5387,0.5622
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106
scVAEIT,Embedding,21500,0.5207,0.7432,0.8822,0,0.3097,0.336,0.6481,0.6411,0.9814,0.9978,0.6137,0.5786
scVAEIT,Embedding,21500,0.549,0.7383,0.8453,0,0.2625,0.2982,0.6339,0.6265,0.9796,0.9978,0.6057,0.5919
scVAEIT,Embedding,21500,0.5605,0.7413,0.8834,0,0.3012,0.3361,0.6429,0.6408,0.9811,0.9983,0.6188,0.5935
scVAEIT,Embedding,21500,0.5469,0.7054,0.8782,0,0.262,0.312,0.6269,0.6338,0.9795,0.9984,0.6176,0.5932
scVAEIT,Embedding,21500,0.5532,0.7607,0.885,0,0.3108,0.3261,0.6445,0.6331,0.9814,0.9978,0.5821,0.5849
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678
totalVI,Embedding,21500,0.919,0.9516,0.9454,0.7414,0.5507,0.5459,0.7656,0.7399,0.9886,0.9961,0.5348,0.5516
totalVI,Embedding,21500,0.9268,0.9567,0.947,0.738,0.5372,0.545,0.7542,0.7423,0.9862,0.9957,0.5355,0.552
totalVI,Embedding,21500,0.9123,0.9496,0.9483,0.7357,0.5167,0.5521,0.7617,0.7388,0.9884,0.9967,0.5353,0.5526
totalVI,Embedding,21500,0.905,0.9551,0.943,0.7384,0.611,0.6347,0.7718,0.7619,0.988,0.996,0.5319,0.5507
