method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1
MIDAS,Embedding,31965,0.9397,0.9526,0.9439,0.5936,0.6128,0.5924,0.748,0.7454,0.9893,0.9982,0.526,0.5636
MIDAS,Embedding,31965,0.918,0.9525,0.945,0.4914,0.4079,0.435,0.7009,0.7024,0.9908,0.9986,0.5416,0.564
MIDAS,Embedding,31965,0.9342,0.9646,0.9433,0.5669,0.4673,0.5109,0.7329,0.7407,0.9903,0.9982,0.5453,0.5675
MIDAS,Embedding,31965,0.9155,0.9521,0.9469,0.4734,0.4747,0.4641,0.7103,0.6986,0.9901,0.9981,0.5406,0.5679
MIDAS,Embedding,31965,0.9383,0.9562,0.9435,0.6175,0.4288,0.5072,0.7253,0.7363,0.9896,0.9986,0.5391,0.5636
Multigrate,Embedding,31965,0.5936,0.6004,0.6846,0,0.3007,0.2958,0.6472,0.63,0.9909,0.9992,0.5639,0.5773
Multigrate,Embedding,31965,0.5936,0.6004,0.6846,0,0.3007,0.2958,0.6472,0.63,0.9909,0.9992,0.5639,0.5773
Multigrate,Embedding,31965,0.5936,0.6004,0.6846,0,0.3007,0.2958,0.6472,0.63,0.9909,0.9992,0.5639,0.5773
Multigrate,Embedding,31965,0.5936,0.6004,0.6846,0,0.3007,0.2958,0.6472,0.63,0.9909,0.9992,0.5639,0.5773
Multigrate,Embedding,31965,0.5936,0.6004,0.6846,0,0.3007,0.2958,0.6472,0.63,0.9909,0.9992,0.5639,0.5773
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197
scVAEIT,Embedding,31965,0.5359,0.593,0.8478,0,0.2602,0.2727,0.5971,0.5999,0.9788,0.9977,0.5762,0.5502
scVAEIT,Embedding,31965,0.5698,0.5789,0.7607,0,0.2469,0.2749,0.5884,0.5989,0.9772,0.9974,0.6282,0.5477
scVAEIT,Embedding,31965,0.5198,0.5667,0.7409,0,0.31,0.312,0.6006,0.6094,0.9778,0.9982,0.6073,0.5552
scVAEIT,Embedding,31965,0.6287,0.6231,0.8572,5e-04,0.2406,0.2601,0.585,0.5963,0.9773,0.998,0.6188,0.5557
scVAEIT,Embedding,31965,0.4968,0.5679,0.797,0,0.2783,0.2955,0.5973,0.608,0.9784,0.9971,0.5961,0.548
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851
