method,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,paired_size,unpaired_size
MIDAS,0.014,0.0782,0.7337,0.926,10000,5000
Multigrate,0.1148,0.0023,0.4674,0.6441,10000,5000
scMoMaT,0.2738,0.0016,0.3155,0.4897,10000,5000
scVAEIT,0.161,0.0021,0.3171,0.6628,10000,5000
StabMap,0.0361,0.0315,0.6839,0.9089,10000,5000
MIDAS,0.0126,0.095,0.75,0.9298,20000,5000
Multigrate,0.0842,0.0046,0.4874,0.7382,20000,5000
scMoMaT,0.2334,0.003,0.3857,0.6096,20000,5000
scVAEIT,0.1155,0.0019,0.3821,0.6559,20000,5000
StabMap,0.0355,0.032,0.6933,0.9119,20000,5000
MIDAS,0.0179,0.0555,0.7061,0.9113,3000,5000
Multigrate,0.134,0.0022,0.3725,0.6467,3000,5000
scMoMaT,0.3385,0.003,0.3011,0.4389,3000,5000
scVAEIT,0.2444,9e-04,0.214,0.5371,3000,5000
StabMap,0.0391,0.0276,0.6817,0.9102,3000,5000
MIDAS,0.0163,0.0635,0.7249,0.9176,5000,5000
Multigrate,0.1225,0.002,0.4313,0.6585,5000,5000
scMoMaT,0.2326,0.0032,0.4135,0.6189,5000,5000
scVAEIT,0.2428,0.0011,0.3785,0.5726,5000,5000
StabMap,0.0363,0.0302,0.6858,0.9155,5000,5000
Seurat v5 bridge,0.0309,0.0222,0.6939,0.9141,10000,5000
Seurat v5 bridge,0.0335,0.0219,0.6826,0.9176,20000,5000
Seurat v5 bridge,0.0295,0.0209,0.6986,0.9192,3000,5000
Seurat v5 bridge,0.029,0.0234,0.705,0.9201,5000,5000
