method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,s2d1,s3d6
MIDAS,Embedding,21500,0.7567,0.8906,0.917,0,0.5081,0.4752,0.6986,0.6849,0.987,0.9972,0.5623,0.5656,10,100
Multigrate,Embedding,21500,0.5938,0.7532,0.7885,0,0.3265,0.3136,0.6655,0.6317,0.9881,0.9989,0.5514,0.5926,10,100
sciPENN,Embedding,21500,0.7994,0.8446,0.9103,0.2237,0.482,0.4619,0.6601,0.6612,0.9854,0.9965,0.4752,0.5886,10,100
scMoMaT,Embedding,21500,0.7683,0.8209,0.9141,0.0262,0.352,0.3785,0.5841,0.6005,0.9627,0.9746,0.4941,0.5115,10,100
scVAEIT,Embedding,21500,0.3419,0.6174,0.7531,0,0.2893,0.3225,0.5731,0.5849,0.9758,0.9949,0.5406,0.4665,10,100
StabMap,Embedding,21500,0.809,0.8501,0.882,0.4355,0.4265,0.4563,0.6137,0.6298,0.9768,0.9875,0.4718,0.5487,10,100
totalVI,Embedding,21500,0.852,0.8606,0.89,0.6567,0.5241,0.5785,0.6897,0.7091,0.9776,0.9846,0.4587,0.5323,10,100
MIDAS,Embedding,21500,0.8643,0.9371,0.9379,0.208,0.4145,0.4565,0.7058,0.7075,0.9883,0.9975,0.5542,0.5686,25,100
Multigrate,Embedding,21500,0.6154,0.7984,0.8664,0,0.362,0.3198,0.684,0.6441,0.9901,0.9992,0.5846,0.6072,25,100
sciPENN,Embedding,21500,0.8302,0.8931,0.9421,0.4679,0.5131,0.5004,0.7092,0.6978,0.9874,0.9976,0.4546,0.6043,25,100
scMoMaT,Embedding,21500,0.8042,0.8037,0.9147,0.0272,0.3229,0.389,0.6218,0.6412,0.9693,0.9846,0.5166,0.5094,25,100
scVAEIT,Embedding,21500,0.4337,0.647,0.7586,0,0.2553,0.2844,0.5884,0.5847,0.9782,0.9958,0.5382,0.4835,25,100
StabMap,Embedding,21500,0.8489,0.8854,0.9049,0.5445,0.4023,0.4565,0.6851,0.6807,0.983,0.9957,0.4801,0.5571,25,100
totalVI,Embedding,21500,0.8997,0.9145,0.9223,0.7324,0.5559,0.5948,0.733,0.7413,0.9824,0.9921,0.4929,0.5415,25,100
MIDAS,Embedding,21500,0.8388,0.9562,0.9355,0.1403,0.5046,0.511,0.7291,0.7237,0.9902,0.9981,0.5597,0.5618,50,100
Multigrate,Embedding,21500,0.5675,0.7848,0.8313,0,0.3669,0.3208,0.6909,0.6494,0.9908,0.9994,0.6049,0.5979,50,100
sciPENN,Embedding,21500,0.8878,0.8908,0.9293,0.6541,0.4431,0.4289,0.7265,0.6969,0.9897,0.9988,0.4319,0.6192,50,100
scMoMaT,Embedding,21500,0.7424,0.8528,0.9064,0.0146,0.4523,0.4859,0.6591,0.67,0.9703,0.9841,0.5379,0.5106,50,100
scVAEIT,Embedding,21500,0.5141,0.6341,0.7159,0,0.2563,0.3068,0.5937,0.6024,0.9766,0.9948,0.5591,0.5127,50,100
StabMap,Embedding,21500,0.868,0.9048,0.9273,0.5863,0.5244,0.5528,0.7285,0.7248,0.9858,0.9964,0.4702,0.5629,50,100
totalVI,Embedding,21500,0.9212,0.9353,0.941,0.7547,0.5119,0.5694,0.7455,0.748,0.9863,0.9943,0.5087,0.5456,50,100
MIDAS,Embedding,21500,0.8488,0.9579,0.9497,0.1616,0.5236,0.5257,0.7328,0.7275,0.9896,0.9977,0.5549,0.567,75,100
Multigrate,Embedding,21500,0.6477,0.7876,0.8084,0,0.3492,0.3258,0.6916,0.6604,0.9925,0.9995,0.6346,0.5821,75,100
sciPENN,Embedding,21500,0.8925,0.912,0.9356,0.7385,0.4656,0.4597,0.7384,0.7153,0.9916,0.9988,0.4754,0.6138,75,100
scMoMaT,Embedding,21500,0.7151,0.8565,0.9413,0.0206,0.444,0.4895,0.6541,0.6653,0.9713,0.9843,0.558,0.5166,75,100
scVAEIT,Embedding,21500,0.531,0.6899,0.79,0,0.2861,0.3432,0.631,0.6416,0.9779,0.9975,0.5357,0.5199,75,100
StabMap,Embedding,21500,0.9056,0.909,0.9426,0.6063,0.4837,0.5589,0.7356,0.7502,0.9871,0.9971,0.4632,0.5647,75,100
totalVI,Embedding,21500,0.9235,0.943,0.9421,0.7259,0.5092,0.5662,0.7555,0.7478,0.9863,0.9963,0.5222,0.5513,75,100
MIDAS,Embedding,21500,0.9435,0.9643,0.9512,0.6994,0.569,0.5269,0.7581,0.7311,0.9902,0.9975,0.5366,0.5621,100,100
Multigrate,Embedding,21500,0.6406,0.7963,0.8371,0,0.3329,0.2982,0.6959,0.6449,0.9916,0.9994,0.6551,0.5981,100,100
MIDAS,Embedding,21500,0.6657,0.9147,0.9039,0.0052,0.4431,0.443,0.6868,0.6814,0.9867,0.995,0.5533,0.5465,100,10
Multigrate,Embedding,21500,0.6306,0.7174,0.778,0,0.3232,0.301,0.6684,0.6317,0.9881,0.9977,0.6467,0.5781,100,10
sciPENN,Embedding,21500,0.8132,0.8283,0.8502,0.379,0.392,0.4345,0.6753,0.6799,0.9796,0.9966,0.4662,0.6032,100,10
scMoMaT,Embedding,21500,0.7302,0.7066,0.9115,0.0021,0.2293,0.2654,0.503,0.5071,0.96,0.9363,0.5753,0.4993,100,10
scVAEIT,Embedding,21500,0.5262,0.5171,0.7822,0,0.2222,0.2448,0.4952,0.5242,0.9577,0.9585,0.5295,0.478,100,10
StabMap,Embedding,21500,0.8065,0.8283,0.8919,0.5186,0.4661,0.4879,0.6177,0.6227,0.976,0.9894,0.4453,0.5423,100,10
totalVI,Embedding,21500,0.6114,0.4502,0.713,0,0.2091,0.2271,0.4836,0.507,0.9572,0.9558,0.559,0.464,100,10
MIDAS,Embedding,21500,0.8642,0.9462,0.9357,0.4212,0.5656,0.5298,0.7354,0.718,0.9872,0.9943,0.5369,0.5555,100,25
Multigrate,Embedding,21500,0.5551,0.7075,0.7922,0,0.3131,0.3101,0.6741,0.6339,0.9898,0.9985,0.6419,0.5974,100,25
sciPENN,Embedding,21500,0.8791,0.8878,0.9287,0.7184,0.4298,0.4431,0.7214,0.6987,0.9879,0.9982,0.45,0.6165,100,25
scMoMaT,Embedding,21500,0.7552,0.7013,0.8577,0.0045,0.3041,0.3379,0.5635,0.5699,0.9623,0.9633,0.5738,0.4963,100,25
scVAEIT,Embedding,21500,0.5343,0.612,0.8606,0,0.245,0.3058,0.5639,0.5991,0.9729,0.9897,0.5734,0.5149,100,25
StabMap,Embedding,21500,0.8529,0.8771,0.8948,0.6466,0.4749,0.5203,0.6787,0.6934,0.9797,0.9938,0.4587,0.5478,100,25
totalVI,Embedding,21500,0.8367,0.9238,0.9232,0.7696,0.6339,0.6274,0.7287,0.7303,0.98,0.9899,0.5422,0.5388,100,25
MIDAS,Embedding,21500,0.7463,0.9676,0.9414,0.0352,0.4209,0.449,0.7114,0.7034,0.9903,0.998,0.5527,0.5603,100,50
Multigrate,Embedding,21500,0.5922,0.7486,0.7985,0,0.3704,0.3282,0.6877,0.6429,0.99,0.9992,0.6199,0.5868,100,50
sciPENN,Embedding,21500,0.9083,0.8986,0.9264,0.781,0.4243,0.4693,0.7245,0.7082,0.9892,0.9984,0.4574,0.6153,100,50
scMoMaT,Embedding,21500,0.7646,0.8052,0.9053,0.0321,0.3013,0.3482,0.5979,0.6083,0.9687,0.9744,0.5418,0.5079,100,50
scVAEIT,Embedding,21500,0.5609,0.724,0.8815,0,0.2865,0.3151,0.6024,0.6087,0.9757,0.9958,0.586,0.5379,100,50
StabMap,Embedding,21500,0.8653,0.9005,0.9097,0.6468,0.4773,0.5274,0.7224,0.7258,0.9844,0.9976,0.4643,0.5565,100,50
totalVI,Embedding,21500,0.8713,0.9477,0.9419,0.7549,0.4521,0.5214,0.731,0.7357,0.9839,0.9953,0.5489,0.5507,100,50
MIDAS,Embedding,21500,0.938,0.9584,0.9466,0.7119,0.5114,0.5457,0.7395,0.7294,0.989,0.9973,0.5385,0.5614,100,75
Multigrate,Embedding,21500,0.5167,0.7024,0.7815,0,0.3419,0.3076,0.6739,0.6321,0.9909,0.9988,0.6538,0.5946,100,75
sciPENN,Embedding,21500,0.8974,0.8881,0.9379,0.734,0.4347,0.4095,0.7241,0.6872,0.9916,0.999,0.4446,0.6275,100,75
scMoMaT,Embedding,21500,0.7281,0.7667,0.9086,0.0038,0.3792,0.4065,0.623,0.6318,0.9716,0.9852,0.5436,0.5012,100,75
scVAEIT,Embedding,21500,0.5937,0.6794,0.8558,0.0021,0.2731,0.3159,0.6316,0.6321,0.9788,0.997,0.5962,0.5944,100,75
StabMap,Embedding,21500,0.8846,0.913,0.9204,0.6174,0.5388,0.5652,0.7387,0.7403,0.9858,0.998,0.4694,0.5652,100,75
totalVI,Embedding,21500,0.9138,0.9584,0.949,0.74,0.5335,0.5458,0.7591,0.7453,0.9879,0.996,0.5391,0.5514,100,75
sciPENN,Embedding,21500,0.8983,0.9113,0.9378,0.7669,0.4349,0.4094,0.7321,0.6933,0.9911,0.9989,0.4683,0.6235,100,100
scMoMaT,Embedding,21500,0.7165,0.8356,0.9115,0.0072,0.3289,0.3682,0.6325,0.6351,0.9713,0.9826,0.5651,0.5106,100,100
scVAEIT,Embedding,21500,0.5207,0.7432,0.8822,0,0.3097,0.336,0.6481,0.6411,0.9814,0.9978,0.6137,0.5786,100,100
StabMap,Embedding,21500,0.8876,0.9217,0.9301,0.6338,0.47,0.5262,0.7437,0.7355,0.9861,0.9976,0.4763,0.5678,100,100
totalVI,Embedding,21500,0.919,0.9516,0.9454,0.7414,0.5507,0.5459,0.7656,0.7399,0.9886,0.9961,0.5348,0.5516,100,100
Seurat v5 bridge,Embedding,21500,0.1522,0.5817,0.7237,0,0.263,0.2579,0.6034,0.5816,0.9872,0.9955,0.5134,0.4217,10,100
Seurat v5 bridge,Embedding,21500,0.0754,0.5982,0.6756,0,0.2907,0.2646,0.6471,0.6089,0.9905,0.9978,0.5221,0.4258,25,100
Seurat v5 bridge,Embedding,21500,NA,0.6012,0.606,0,0.2821,0.2306,0.6613,0.6013,0.9939,0.9984,0.5554,0.4288,50,100
Seurat v5 bridge,Embedding,21500,0.1129,0.6187,0.6123,0,0.3137,0.2544,0.6764,0.6222,0.9948,0.9985,0.5739,0.4299,75,100
Seurat v5 bridge,Embedding,21500,0.0476,0.6123,0.6046,0,0.2982,0.2475,0.674,0.6182,0.9953,0.9988,0.5874,0.4324,100,100
Seurat v5 bridge,Embedding,21500,0.076,0.5392,0.6302,0,0.3272,0.2757,0.618,0.5756,0.9909,0.9965,0.5526,0.4257,100,10
Seurat v5 bridge,Embedding,21500,0.0729,0.5893,0.6622,0,0.2734,0.2343,0.6496,0.6007,0.9942,0.9973,0.5704,0.4296,100,25
Seurat v5 bridge,Embedding,21500,0.0599,0.6023,0.6307,0,0.296,0.2392,0.6676,0.6072,0.9956,0.9981,0.5947,0.4319,100,50
Seurat v5 bridge,Embedding,21500,0.0702,0.6094,0.5995,0,0.2696,0.2319,0.66,0.6108,0.995,0.9982,0.5915,0.4316,100,75
