method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,s2d1,s3d6
MIDAS,Embedding,31965,0.8436,0.8439,0.9092,0.148,0.4185,0.4249,0.6586,0.6623,0.9845,0.9969,0.5421,0.5622,10,100
Multigrate,Embedding,31965,0.6465,0.5561,0.6557,0,0.312,0.2986,0.5987,0.5898,0.9824,0.9982,0.5838,0.5588,10,100
scMoMaT,Embedding,31965,0.9052,0.7983,0.9038,0.3598,0.3725,0.4217,0.5853,0.6198,0.9629,0.97,0.5362,0.516,10,100
scVAEIT,Embedding,31965,0.3519,0.4619,0.5281,0,0.2172,0.2388,0.4685,0.4832,0.9678,0.976,0.6462,0.4173,10,100
StabMap,Embedding,31965,0.8437,0.8659,0.9265,0.3695,0.3608,0.4121,0.6053,0.6281,0.9763,0.9907,0.4871,0.5485,10,100
MIDAS,Embedding,31965,0.8877,0.9372,0.9362,0.4038,0.4651,0.4598,0.6936,0.6837,0.9878,0.9981,0.5416,0.5684,25,100
Multigrate,Embedding,31965,0.6268,0.5928,0.6126,0,0.3312,0.3088,0.632,0.6173,0.9869,0.9987,0.5627,0.5724,25,100
scMoMaT,Embedding,31965,0.9039,0.7959,0.9147,0.3446,0.4893,0.513,0.6355,0.6714,0.9706,0.985,0.5282,0.5188,25,100
scVAEIT,Embedding,31965,0.4571,0.5366,0.7214,0,0.2517,0.2724,0.5398,0.5577,0.9751,0.994,0.6136,0.4488,25,100
StabMap,Embedding,31965,0.8433,0.9048,0.9164,0.3517,0.347,0.4128,0.6551,0.6744,0.9845,0.9968,0.47,0.5625,25,100
MIDAS,Embedding,31965,0.8856,0.9576,0.9413,0.4253,0.5202,0.4926,0.7244,0.7072,0.9894,0.9982,0.5431,0.5628,50,100
Multigrate,Embedding,31965,0.6336,0.5734,0.6701,0,0.2997,0.2822,0.6372,0.617,0.9895,0.9991,0.5179,0.5716,50,100
scMoMaT,Embedding,31965,0.8892,0.8569,0.913,0.3163,0.446,0.4938,0.6544,0.6811,0.9737,0.99,0.521,0.5218,50,100
scVAEIT,Embedding,31965,0.5653,0.5223,0.7027,0,0.2296,0.2596,0.5554,0.5714,0.9744,0.9946,0.6465,0.5197,50,100
StabMap,Embedding,31965,0.8573,0.9117,0.93,0.328,0.3956,0.4451,0.6861,0.7018,0.9858,0.9974,0.479,0.571,50,100
MIDAS,Embedding,31965,0.8966,0.9478,0.942,0.3748,0.4886,0.4857,0.7188,0.7103,0.9899,0.9982,0.5556,0.5677,75,100
