method,rna_n_features,atac_n_features,raw scRNA correlation (cell type),raw scRNA correlation (cell),kNN smoothed scRNA correlation (cell type),kNN smoothed scRNA correlation (cell),raw scATAC AUROC (cell type),raw scATAC AUPR (cell),kNN smoothed scRNA AUROC (cell type),kNN smoothed scATAC AUPR (cell)
MIDAS,13431,116490,0.94,0.74,0.926,0.895,0.908,0.184,0.932,0.755
MIDAS,13431,116490,0.949,0.752,0.933,0.91,0.909,0.184,0.933,0.755
MIDAS,13431,116490,0.956,0.759,0.94,0.919,0.908,0.184,0.933,0.755
MIDAS,13431,116490,0.939,0.746,0.923,0.903,0.908,0.184,0.931,0.754
MIDAS,13431,116490,0.954,0.749,0.943,0.906,0.908,0.184,0.932,0.755
MultiVI,11444,46388,-0.004,-0.002,-0.004,-0.002,0.502,0.066,0.51,0.508
MultiVI,11444,46388,-0.004,-0.002,-0.004,-0.002,0.502,0.066,0.51,0.508
MultiVI,11444,46388,-0.004,-0.002,-0.004,-0.002,0.502,0.066,0.51,0.508
MultiVI,11444,46388,-0.004,-0.002,-0.004,-0.002,0.502,0.066,0.51,0.508
MultiVI,11444,46388,-0.004,-0.002,-0.004,-0.002,0.502,0.066,0.51,0.508
StabMap,600,600,0.468,0.294,0.472,0.359,NA,0.043,NA,NA
StabMap,600,600,0.468,0.294,0.472,0.359,NA,0.043,NA,NA
StabMap,600,600,0.468,0.294,0.472,0.359,NA,0.043,NA,NA
StabMap,600,600,0.468,0.294,0.472,0.359,NA,0.043,NA,NA
StabMap,600,600,0.468,0.294,0.472,0.359,NA,0.043,NA,NA
