method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1
cobolt,Embedding,19786,0.812,0.981,0.984,0.235,0.516,0.473,0.736,0.692,0.986,0.995,0.664,0.598
cobolt,Embedding,19786,0.857,0.977,0.976,0.247,0.536,0.479,0.743,0.696,0.986,0.995,0.674,0.602
cobolt,Embedding,19786,0.795,0.975,0.983,0.184,0.501,0.459,0.711,0.672,0.983,0.994,0.598,0.592
cobolt,Embedding,19786,0.785,0.978,0.983,0.156,0.549,0.491,0.726,0.697,0.987,0.994,0.604,0.599
cobolt,Embedding,19786,0.835,0.977,0.979,0.259,0.495,0.469,0.743,0.701,0.987,0.995,0.64,0.601
MIDAS,Embedding,19786,0.939,0.984,0.983,0.682,0.578,0.509,0.731,0.682,0.983,0.989,0.647,0.552
MIDAS,Embedding,19786,0.948,0.984,0.981,0.685,0.604,0.537,0.738,0.696,0.983,0.99,0.665,0.554
MIDAS,Embedding,19786,0.942,0.985,0.983,0.655,0.585,0.53,0.731,0.693,0.982,0.99,0.639,0.551
MIDAS,Embedding,19786,0.941,0.984,0.981,0.703,0.558,0.515,0.72,0.692,0.982,0.99,0.653,0.549
MIDAS,Embedding,19786,0.936,0.982,0.982,0.694,0.568,0.51,0.724,0.683,0.983,0.99,0.656,0.553
Multigrate,Embedding,19786,0.599,0.657,0.707,0,0.323,0.312,0.622,0.61,0.988,0.998,0.65,0.574
Multigrate,Embedding,19786,0.599,0.657,0.707,0,0.323,0.312,0.622,0.61,0.988,0.998,0.65,0.574
Multigrate,Embedding,19786,0.599,0.657,0.707,0,0.323,0.312,0.622,0.61,0.988,0.998,0.65,0.574
Multigrate,Embedding,19786,0.599,0.657,0.707,0,0.323,0.312,0.622,0.61,0.988,0.998,0.65,0.574
Multigrate,Embedding,19786,0.599,0.657,0.707,0,0.323,0.312,0.622,0.61,0.988,0.998,0.65,0.574
MultiVI,Embedding,19786,0.903,0.984,0.985,0.514,0.594,0.521,0.786,0.727,0.992,0.997,0.724,0.601
MultiVI,Embedding,19786,0.903,0.984,0.985,0.514,0.594,0.521,0.786,0.727,0.992,0.997,0.724,0.601
MultiVI,Embedding,19786,0.903,0.984,0.985,0.514,0.594,0.521,0.786,0.727,0.992,0.997,0.724,0.601
MultiVI,Embedding,19786,0.903,0.984,0.985,0.514,0.594,0.521,0.786,0.727,0.992,0.997,0.724,0.601
MultiVI,Embedding,19786,0.903,0.984,0.985,0.514,0.594,0.521,0.786,0.727,0.992,0.997,0.724,0.601
scMoMaT,Embedding,19786,0.832,0.925,0.97,0.16,0.352,0.322,0.602,0.576,0.976,0.988,0.625,0.542
scMoMaT,Embedding,19786,0.832,0.925,0.97,0.16,0.352,0.322,0.602,0.576,0.976,0.988,0.625,0.542
scMoMaT,Embedding,19786,0.832,0.925,0.97,0.16,0.352,0.322,0.602,0.576,0.976,0.988,0.625,0.542
scMoMaT,Embedding,19786,0.832,0.925,0.97,0.16,0.352,0.322,0.602,0.576,0.976,0.988,0.625,0.542
scMoMaT,Embedding,19786,0.832,0.925,0.97,0.16,0.352,0.322,0.602,0.576,0.976,0.988,0.625,0.542
StabMap,Embedding,19786,0.801,0.809,0.925,0.217,0.333,0.392,0.53,0.537,0.947,0.942,0.541,0.517
StabMap,Embedding,19786,0.801,0.809,0.925,0.217,0.333,0.392,0.53,0.537,0.947,0.942,0.541,0.517
StabMap,Embedding,19786,0.801,0.809,0.925,0.217,0.333,0.392,0.53,0.537,0.947,0.942,0.541,0.517
StabMap,Embedding,19786,0.801,0.809,0.925,0.217,0.333,0.392,0.53,0.537,0.947,0.942,0.541,0.517
StabMap,Embedding,19786,0.801,0.809,0.925,0.217,0.333,0.392,0.53,0.537,0.947,0.942,0.541,0.517
Seurat v5 bridge,Embedding,19786,0.597,0.824,0.852,0.163,0.41,0.312,0.702,0.624,0.996,0.998,0.94,0.481
Seurat v5 bridge,Embedding,19786,0.597,0.824,0.852,0.163,0.41,0.312,0.702,0.624,0.996,0.998,0.94,0.481
Seurat v5 bridge,Embedding,19786,0.597,0.824,0.852,0.163,0.41,0.312,0.702,0.624,0.996,0.998,0.94,0.481
Seurat v5 bridge,Embedding,19786,0.597,0.824,0.852,0.163,0.41,0.312,0.702,0.624,0.996,0.998,0.94,0.481
Seurat v5 bridge,Embedding,19786,0.597,0.824,0.852,0.163,0.41,0.312,0.702,0.624,0.996,0.998,0.94,0.481
