method,Output,nCell,Batch ASW,graph connectivity,graph iLISI,ARI,AMI,graph cLISI,isolated labels ASW
cobolt,Embedding,15000,0.927,0.871,0.826,0.409,0.536,0.965,0.525
cobolt,Embedding,15000,0.933,0.87,0.827,0.379,0.532,0.964,0.526
cobolt,Embedding,15000,0.92,0.854,0.833,0.385,0.532,0.963,0.527
cobolt,Embedding,15000,0.937,0.87,0.817,0.38,0.532,0.966,0.531
cobolt,Embedding,15000,0.932,0.885,0.825,0.366,0.521,0.965,0.528
Multigrate,Embedding,15000,0.843,0.737,0.025,0.187,0.408,0.946,0.497
Multigrate,Embedding,15000,0.843,0.737,0.025,0.187,0.408,0.946,0.497
Multigrate,Embedding,15000,0.843,0.737,0.025,0.187,0.408,0.946,0.497
Multigrate,Embedding,15000,0.843,0.737,0.025,0.187,0.408,0.946,0.497
Multigrate,Embedding,15000,0.843,0.737,0.025,0.187,0.408,0.946,0.497
MultiVI,Embedding,15000,0.943,0.865,0.803,0.385,0.54,0.961,0.522
MultiVI,Embedding,15000,0.943,0.865,0.803,0.385,0.54,0.961,0.522
MultiVI,Embedding,15000,0.943,0.865,0.803,0.385,0.54,0.961,0.522
MultiVI,Embedding,15000,0.943,0.865,0.803,0.385,0.54,0.961,0.522
MultiVI,Embedding,15000,0.943,0.865,0.803,0.385,0.54,0.961,0.522
scMoMaT,Embedding,15000,0.905,0.757,0.556,0.148,0.309,0.921,0.47
scMoMaT,Embedding,15000,0.905,0.757,0.556,0.148,0.309,0.921,0.47
scMoMaT,Embedding,15000,0.905,0.757,0.556,0.148,0.309,0.921,0.47
scMoMaT,Embedding,15000,0.905,0.757,0.556,0.148,0.309,0.921,0.47
scMoMaT,Embedding,15000,0.905,0.757,0.556,0.148,0.309,0.921,0.47
StabMap,Embedding,15000,0.776,0.524,0.509,0.039,0.118,0.803,0.423
StabMap,Embedding,15000,0.776,0.524,0.509,0.039,0.118,0.803,0.423
StabMap,Embedding,15000,0.776,0.524,0.509,0.039,0.118,0.803,0.423
StabMap,Embedding,15000,0.776,0.524,0.509,0.039,0.118,0.803,0.423
StabMap,Embedding,15000,0.776,0.524,0.509,0.039,0.118,0.803,0.423
Seurat v5 bridge,Embedding,15000,0.462,0.745,0.204,0.237,0.532,0.981,0.529
Seurat v5 bridge,Embedding,15000,0.462,0.745,0.204,0.237,0.532,0.981,0.529
Seurat v5 bridge,Embedding,15000,0.462,0.745,0.204,0.237,0.532,0.981,0.529
Seurat v5 bridge,Embedding,15000,0.462,0.745,0.204,0.237,0.532,0.981,0.529
Seurat v5 bridge,Embedding,15000,0.462,0.745,0.204,0.237,0.532,0.981,0.529
