method,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,paired_size,unpaired_size
cobolt,0.0264,0.0311,0.7532,0.864,10000,5000
MIDAS,0.0655,0.0429,0.7695,0.8668,10000,5000
Multigrate,0.1099,0.0045,0.5976,0.785,10000,5000
MultiVI,0.0194,0.0451,0.7892,0.8854,10000,5000
scMoMaT,0.2896,0.0027,0.3877,0.5812,10000,5000
cobolt,0.0257,0.0328,0.7604,0.8703,20000,5000
MIDAS,0.0487,0.044,0.7722,0.8726,20000,5000
Multigrate,0.0891,0.0059,0.5923,0.7362,20000,5000
MultiVI,0.0146,0.0674,0.8167,0.8986,20000,5000
scMoMaT,0.355,0.0017,0.2886,0.4667,20000,5000
cobolt,0.0382,0.0174,0.7057,0.8523,3000,5000
MIDAS,0.0831,0.0224,0.7082,0.8407,3000,5000
Multigrate,0.1445,0.0017,0.3321,0.4516,3000,5000
MultiVI,0.0392,0.0187,0.7294,0.8587,3000,5000
scMoMaT,0.2546,0.0033,0.4557,0.6176,3000,5000
cobolt,0.0321,0.0247,0.7316,0.8561,5000,5000
MIDAS,0.0756,0.0281,0.7294,0.8486,5000,5000
Multigrate,0.1184,0.0033,0.4855,0.76,5000,5000
MultiVI,0.029,0.0312,0.7639,0.8711,5000,5000
scMoMaT,0.2899,0.0024,0.4151,0.5929,5000,5000
Seurat v5 bridge,0.0282,0.0323,0.7857,0.8739,10000,5000
Seurat v5 bridge,0.0276,0.0438,0.7906,0.873,20000,5000
Seurat v5 bridge,0.0497,0.023,0.7615,0.8581,3000,5000
Seurat v5 bridge,0.0392,0.0261,0.7604,0.853,5000,5000
StabMap,0.2532,0.0016,0.4211,0.5958,10000,5000
StabMap,0.2611,0.0017,0.375,0.5724,20000,5000
StabMap,0.2997,0.0019,0.3816,0.5513,3000,5000
StabMap,0.2828,0.0022,0.4143,0.5718,5000,5000
