method,Output,nCell,Batch ASW,graph connectivity,graph iLISI,ARI,AMI,graph cLISI,isolated labels ASW,c5k_1,c5k_2
cobolt,Embedding,15000,0.9273,0.8708,0.8259,0.4086,0.5357,0.965,0.5255,100,100
Multigrate,Embedding,15000,0.8432,0.7368,0.0252,0.1873,0.4083,0.9462,0.4967,100,100
MultiVI,Embedding,15000,0.9428,0.865,0.8032,0.3853,0.54,0.9608,0.5225,100,100
cobolt,Embedding,15000,0.862,0.7271,0.3284,0.2045,0.3875,0.9332,0.4823,100,10
Multigrate,Embedding,15000,0.8315,0.5312,0.0736,0.1187,0.2657,0.8959,0.4644,100,10
MultiVI,Embedding,15000,0.87,0.7581,0.5845,0.3022,0.4373,0.9422,0.4939,100,10
scMoMaT,Embedding,15000,0.8329,0.6645,0.1872,0.0743,0.2068,0.8821,0.4637,100,10
cobolt,Embedding,15000,0.9196,0.8243,0.667,0.3131,0.4842,0.9525,0.5002,100,25
Multigrate,Embedding,15000,0.836,0.6383,0.0446,0.1576,0.3514,0.9239,0.4812,100,25
MultiVI,Embedding,15000,0.9319,0.8018,0.7527,0.356,0.4852,0.95,0.5054,100,25
scMoMaT,Embedding,15000,0.8623,0.6777,0.2774,0.1075,0.2424,0.8926,0.4608,100,25
cobolt,Embedding,15000,0.9446,0.8577,0.8311,0.3694,0.5264,0.962,0.5204,100,50
Multigrate,Embedding,15000,0.8479,0.6821,0.1152,0.2132,0.4028,0.9387,0.4978,100,50
MultiVI,Embedding,15000,0.9494,0.8456,0.7955,0.3889,0.5215,0.9589,0.519,100,50
scMoMaT,Embedding,15000,0.8633,0.7131,0.3682,0.134,0.2918,0.9063,0.4609,100,50
cobolt,Embedding,15000,0.9332,0.8625,0.8233,0.3581,0.5156,0.9597,0.5194,100,75
Multigrate,Embedding,15000,0.8541,0.714,0.1038,0.2076,0.4129,0.9415,0.4963,100,75
MultiVI,Embedding,15000,0.956,0.8561,0.7984,0.3747,0.5211,0.9601,0.5164,100,75
scMoMaT,Embedding,15000,0.8748,0.7445,0.4464,0.1102,0.2919,0.9118,0.4693,100,75
scMoMaT,Embedding,15000,0.9049,0.7573,0.5559,0.1483,0.309,0.9209,0.47,100,100
cobolt,Embedding,15000,0.8581,0.723,0.3654,0.2088,0.3605,0.9208,0.4782,10,100
Multigrate,Embedding,15000,0.7946,0.4926,0.004,0.0881,0.2151,0.8657,0.4699,10,100
MultiVI,Embedding,15000,0.9069,0.6871,0.6397,0.1879,0.3432,0.9204,0.4801,10,100
scMoMaT,Embedding,15000,0.856,0.6434,0.4148,0.0921,0.211,0.8723,0.4685,10,100
cobolt,Embedding,15000,0.9017,0.7959,0.6198,0.2936,0.4482,0.9477,0.4918,25,100
