method,Output,nCell,FOSCTTM,Cell match,Cell type match,c5k_1,c5k_2
cobolt,Embedding,5000,0.0404,0.0183,0.5934,100,100
Multigrate,Embedding,5000,0.1757,0.0023,0.3731,100,100
MultiVI,Embedding,5000,0.0586,0.0174,0.5944,100,100
cobolt,Embedding,5000,0.1618,0.002,0.3403,100,10
Multigrate,Embedding,5000,0.4725,1e-04,0.0842,100,10
MultiVI,Embedding,5000,0.168,0.0041,0.4496,100,10
scMoMaT,Embedding,5000,0.4766,6e-04,0.0485,100,10
cobolt,Embedding,5000,0.0874,0.0065,0.5093,100,25
Multigrate,Embedding,5000,0.311,9e-04,0.193,100,25
MultiVI,Embedding,5000,0.1311,0.0067,0.5034,100,25
scMoMaT,Embedding,5000,0.4501,3e-04,0.107,100,25
cobolt,Embedding,5000,0.0469,0.0161,0.5713,100,50
Multigrate,Embedding,5000,0.204,0.0019,0.3389,100,50
MultiVI,Embedding,5000,0.086,0.0099,0.561,100,50
scMoMaT,Embedding,5000,0.3527,9e-04,0.2105,100,50
cobolt,Embedding,5000,0.041,0.0169,0.5777,100,75
Multigrate,Embedding,5000,0.1804,0.0018,0.3126,100,75
MultiVI,Embedding,5000,0.0661,0.0121,0.5768,100,75
scMoMaT,Embedding,5000,0.3044,0.0019,0.2694,100,75
scMoMaT,Embedding,5000,0.2328,0.0048,0.3371,100,100
cobolt,Embedding,5000,0.1806,0.0037,0.3378,10,100
Multigrate,Embedding,5000,0.4253,3e-04,0.0959,10,100
MultiVI,Embedding,5000,0.2001,0.0024,0.3497,10,100
scMoMaT,Embedding,5000,0.2908,0.0027,0.2919,10,100
cobolt,Embedding,5000,0.0885,0.0072,0.4739,25,100
Multigrate,Embedding,5000,0.2965,0.0013,0.2078,25,100
MultiVI,Embedding,5000,0.1288,0.0051,0.4546,25,100
scMoMaT,Embedding,5000,0.2409,0.0042,0.3542,25,100
cobolt,Embedding,5000,0.0535,0.0115,0.5405,50,100
Multigrate,Embedding,5000,0.1928,0.0011,0.3139,50,100
MultiVI,Embedding,5000,0.0852,0.011,0.5249,50,100
scMoMaT,Embedding,5000,0.2261,0.0046,0.3702,50,100
cobolt,Embedding,5000,0.0404,0.0171,0.5812,75,100
Multigrate,Embedding,5000,0.1752,0.0015,0.3339,75,100
MultiVI,Embedding,5000,0.0725,0.0142,0.5793,75,100
scMoMaT,Embedding,5000,0.2324,0.0051,0.3582,75,100
Seurat v5 bridge,Embedding,10000,0.186,0.0035,0.4638,100,10
Seurat v5 bridge,Embedding,10000,0.0882,0.0086,0.625,100,25
Seurat v5 bridge,Embedding,10000,0.0629,0.0167,0.6647,100,50
Seurat v5 bridge,Embedding,10000,0.0523,0.0207,0.6757,100,75
Seurat v5 bridge,Embedding,10000,0.2871,0.0035,0.3584,10,100
Seurat v5 bridge,Embedding,10000,0.1471,0.007,0.5468,25,100
Seurat v5 bridge,Embedding,10000,0.0823,0.0158,0.6403,50,100
Seurat v5 bridge,Embedding,10000,0.0674,0.0221,0.6714,75,100
Seurat v5 bridge,Embedding,10000,0.0558,0.0249,0.6783,100,100
StabMap,Embedding,10000,0.4474,1e-04,0.0941,100,10
StabMap,Embedding,10000,0.4659,0,0.1406,100,25
StabMap,Embedding,10000,0.4796,2e-04,0.068,100,50
StabMap,Embedding,10000,0.4654,3e-04,0.0979,100,75
StabMap,Embedding,10000,0.4468,7e-04,0.1238,100,100
StabMap,Embedding,10000,0.3555,2e-04,0.084,10,100
StabMap,Embedding,10000,0.4034,0,0.0867,25,100
StabMap,Embedding,10000,0.4601,0,0.0756,50,100
StabMap,Embedding,10000,0.4613,5e-04,0.1139,75,100
