method,FOSCTTM,Cell match,Cell type match,paired_size,unpaired_size
cobolt,0.0335,0.0275,0.6283,10000,5000
Multigrate,0.1619,0.002,0.4003,10000,5000
MultiVI,0.0437,0.0294,0.6422,10000,5000
scMoMaT,0.2768,0.0038,0.3203,10000,5000
cobolt,0.0317,0.0374,0.6304,20000,5000
Multigrate,0.1285,0.0039,0.4453,20000,5000
MultiVI,0.0349,0.0425,0.6631,20000,5000
cobolt,0.0473,0.0143,0.5517,3000,5000
Multigrate,0.2496,0.001,0.2987,3000,5000
MultiVI,0.0622,0.0135,0.5706,3000,5000
scMoMaT,0.1905,0.0047,0.39,3000,5000
cobolt,0.036,0.0234,0.5949,5000,5000
Multigrate,0.1884,0.0013,0.3039,5000,5000
MultiVI,0.0576,0.0175,0.5821,5000,5000
scMoMaT,0.2328,0.0048,0.3371,5000,5000
Seurat v5 bridge,0.0434,0.0335,0.729,10000,5000
Seurat v5 bridge,0.0383,0.0455,0.74,20000,5000
Seurat v5 bridge,0.0594,0.0169,0.6621,3000,5000
Seurat v5 bridge,0.0558,0.0249,0.6783,5000,5000
StabMap,0.4259,7e-04,0.1634,10000,5000
StabMap,0.4098,8e-04,0.1864,20000,5000
StabMap,0.4492,4e-04,0.1149,3000,5000
StabMap,0.4468,7e-04,0.1238,5000,5000
