algor,Output,nCell,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1
bindSC,Embedding,10465,0.581,0.523,0.791,0.755,0.994,1
CiteFuse,Graph,10465,0,0,0,0,0.949,0.98
MaxFuse,Embedding,10465,0.658,0.591,0.811,0.776,0.994,1
MOFA+,Embedding,10465,0.424,0.406,0.735,0.696,0.991,1
Multigrate,Embedding,10465,0.447,0.411,0.751,0.705,0.993,1
SCALEX,Embedding,10465,0.536,0.508,0.764,0.735,0.99,0.999
sciPENN,Embedding,10465,0.316,0.285,0.343,0.311,0.934,0.839
scMDC,Embedding,10465,0.59,0.523,0.808,0.759,0.998,1
Seurat v4 WNN,Graph,10465,0.684,0.602,0.817,0.777,0.997,1
totalVI,Embedding,10465,0.662,0.572,0.819,0.771,0.996,1
bindSC,Embedding,10465,0.581,0.523,0.791,0.755,0.994,1
CiteFuse,Graph,10465,0,0,0,0,0.949,0.98
MaxFuse,Embedding,10465,0.591,0.545,0.803,0.765,0.995,1
MOFA+,Embedding,10465,0.424,0.406,0.735,0.696,0.991,1
Multigrate,Embedding,10465,0.447,0.411,0.751,0.705,0.993,1
SCALEX,Embedding,10465,0.536,0.508,0.764,0.735,0.99,0.999
sciPENN,Embedding,10465,0.336,0.309,0.364,0.324,0.941,0.854
scMDC,Embedding,10465,0.577,0.509,0.808,0.755,0.999,1
Seurat v4 WNN,Graph,10465,0.684,0.602,0.817,0.777,0.997,1
totalVI,Embedding,10465,0.652,0.568,0.816,0.765,0.995,0.999
bindSC,Embedding,10465,0.581,0.523,0.791,0.755,0.994,1
CiteFuse,Graph,10465,0,0,0,0,0.949,0.98
MaxFuse,Embedding,10465,0.736,0.636,0.828,0.779,0.993,0.999
MOFA+,Embedding,10465,0.424,0.406,0.735,0.696,0.991,1
Multigrate,Embedding,10465,0.447,0.411,0.751,0.705,0.993,1
SCALEX,Embedding,10465,0.536,0.508,0.764,0.735,0.99,0.999
sciPENN,Embedding,10465,0.44,0.416,0.439,0.415,0.964,0.892
scMDC,Embedding,10465,0.638,0.555,0.812,0.761,0.998,1
Seurat v4 WNN,Graph,10465,0.684,0.602,0.817,0.777,0.997,1
totalVI,Embedding,10465,0.791,0.676,0.827,0.774,0.994,0.999
bindSC,Embedding,10465,0.581,0.523,0.791,0.755,0.994,1
CiteFuse,Graph,10465,0,0,0,0,0.949,0.98
MaxFuse,Embedding,10465,0.697,0.622,0.818,0.782,0.993,0.999
MOFA+,Embedding,10465,0.424,0.406,0.735,0.696,0.991,1
Multigrate,Embedding,10465,0.447,0.411,0.751,0.705,0.993,1
SCALEX,Embedding,10465,0.536,0.508,0.764,0.735,0.99,0.999
sciPENN,Embedding,10465,0.437,0.416,0.396,0.369,0.953,0.873
scMDC,Embedding,10465,0.574,0.492,0.804,0.746,0.998,1
Seurat v4 WNN,Graph,10465,0.684,0.602,0.817,0.777,0.997,1
totalVI,Embedding,10465,0.717,0.634,0.82,0.782,0.995,0.999
bindSC,Embedding,10465,0.581,0.523,0.791,0.755,0.994,1
CiteFuse,Graph,10465,0,0,0,0,0.949,0.98
MaxFuse,Embedding,10465,0.669,0.596,0.816,0.778,0.994,1
MOFA+,Embedding,10465,0.424,0.406,0.735,0.696,0.991,1
Multigrate,Embedding,10465,0.447,0.411,0.751,0.705,0.993,1
SCALEX,Embedding,10465,0.536,0.508,0.764,0.735,0.99,0.999
sciPENN,Embedding,10465,0.373,0.342,0.368,0.339,0.94,0.851
scMDC,Embedding,10465,0.595,0.51,0.807,0.751,0.998,1
Seurat v4 WNN,Graph,10465,0.684,0.602,0.817,0.777,0.997,1
totalVI,Embedding,10465,0.71,0.618,0.821,0.772,0.994,0.999
