algor,Output,nCell,Batch ASW batch,graph iLISI
bindSC,Embedding,161764,0.939,0.244
MaxFuse,Embedding,161764,0.93,0.254
MOFA+,Embedding,161764,0.879,0.242
SCALEX,Embedding,161764,0.902,0.226
sciPENN,Embedding,161764,0.838,0.079
scMDC,Embedding,161764,0.896,0.364
totalVI,Embedding,161764,0.871,0.085
MaxFuse,Embedding,161764,0.934,0.247
MOFA+,Embedding,161764,0.879,0.242
SCALEX,Embedding,161764,0.902,0.226
sciPENN,Embedding,161764,0.832,0.08
scMDC,Embedding,161764,0.9,0.34
totalVI,Embedding,161764,0.871,0.093
MaxFuse,Embedding,161764,0.93,0.253
MOFA+,Embedding,161764,0.879,0.242
SCALEX,Embedding,161764,0.902,0.226
sciPENN,Embedding,161764,0.84,0.083
scMDC,Embedding,161764,0.904,0.353
totalVI,Embedding,161764,0.864,0.094
MaxFuse,Embedding,161764,0.931,0.246
MOFA+,Embedding,161764,0.879,0.242
SCALEX,Embedding,161764,0.902,0.226
sciPENN,Embedding,161764,0.831,0.085
scMDC,Embedding,161764,0.91,0.349
totalVI,Embedding,161764,0.868,0.075
MaxFuse,Embedding,161764,0.93,0.253
MOFA+,Embedding,161764,0.879,0.242
SCALEX,Embedding,161764,0.902,0.226
sciPENN,Embedding,161764,0.841,0.081
scMDC,Embedding,161764,0.893,0.366
totalVI,Embedding,161764,0.86,0.076
bindSC,Embedding,161764,0.939,0.244
bindSC,Embedding,161764,0.939,0.244
bindSC,Embedding,161764,0.939,0.244
bindSC,Embedding,161764,0.939,0.244
