method,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,RNA,ADT
bindSC,Embedding,9026,0.905,0.868,0.912,0.954,0.19,0.558,0.503,0.742,0.714,0.988,0.997,0.585,0.576,100,100
CiteFuse,Graph,9026,NA,NA,1,1,0.115,0,0,0,0,0.947,0.777,NA,NA,100,100
MaxFuse,Embedding,9026,0.9,0.898,0.941,0.931,0.259,0.468,0.46,0.734,0.706,0.988,0.994,0.563,0.547,100,100
MOFA+,Embedding,9026,0.844,0.84,0.815,0.887,0.177,0.36,0.331,0.665,0.636,0.986,0.996,0.608,0.548,100,100
Multigrate,Embedding,9026,0.847,0.865,0.755,0.881,0.224,0.321,0.297,0.656,0.623,0.986,0.995,0.617,0.594,100,100
SCALEX,Embedding,9026,0.873,0.882,0.877,0.921,0.301,0.436,0.468,0.709,0.697,0.986,0.994,0.594,0.579,100,100
sciPENN,Embedding,9026,0.946,0.957,0.742,0.87,0.494,0.578,0.637,0.644,0.677,0.953,0.904,0.491,0.495,100,100
scMDC,Embedding,9026,0.869,0.844,0.886,0.838,0.182,0.404,0.394,0.727,0.685,0.993,0.999,0.511,0.632,100,100
Seurat v4 WNN,Graph,9026,NA,NA,0.913,0.96,0.146,0.406,0.38,0.68,0.65,0.987,0.996,NA,NA,100,100
totalVI,Embedding,9026,0.858,0.822,0.893,0.956,0.099,0.354,0.337,0.63,0.624,0.987,0.994,0.591,0.545,100,100
bindSC,Embedding,9026,0.907,0.887,0.857,0.946,0.285,0.512,0.531,0.728,0.723,0.984,0.992,0.554,0.561,100,10
CiteFuse,Graph,9026,NA,NA,1,1,0.115,0,0,0,0,0.956,0.815,NA,NA,100,10
MaxFuse,Embedding,9026,0.898,0.908,0.913,0.922,0.331,0.476,0.486,0.73,0.712,0.984,0.992,0.561,0.539,100,10
MOFA+,Embedding,9026,0.838,0.853,0.831,0.881,0.199,0.363,0.351,0.676,0.648,0.983,0.993,0.596,0.542,100,10
Multigrate,Embedding,9026,0.846,0.883,0.767,0.87,0.249,0.4,0.354,0.672,0.635,0.983,0.995,0.586,0.584,100,10
SCALEX,Embedding,9026,0.877,0.875,0.865,0.939,0.24,0.391,0.439,0.695,0.689,0.986,0.994,0.593,0.578,100,10
sciPENN,Embedding,9026,0.949,0.96,0.715,0.863,0.481,0.583,0.629,0.66,0.682,0.954,0.914,0.506,0.495,100,10
scMDC,Embedding,9026,0.875,0.884,0.92,0.87,0.226,0.455,0.44,0.731,0.692,0.992,0.999,0.619,0.611,100,10
Seurat v4 WNN,Graph,9026,NA,NA,0.882,0.927,0.205,0.411,0.38,0.695,0.67,0.987,0.994,NA,NA,100,10
totalVI,Embedding,9026,0.883,0.872,0.891,0.933,0.154,0.423,0.388,0.685,0.662,0.986,0.993,0.571,0.539,100,10
bindSC,Embedding,9026,0.898,0.884,0.88,0.95,0.235,0.552,0.538,0.742,0.732,0.987,0.996,0.569,0.568,100,25
CiteFuse,Graph,9026,NA,NA,1,1,0.095,0,0,0,0,0.958,0.811,NA,NA,100,25
MaxFuse,Embedding,9026,0.895,0.906,0.93,0.911,0.296,0.516,0.496,0.745,0.713,0.986,0.991,0.572,0.544,100,25
MOFA+,Embedding,9026,0.837,0.84,0.807,0.886,0.196,0.399,0.365,0.672,0.646,0.985,0.993,0.575,0.542,100,25
Multigrate,Embedding,9026,0.852,0.872,0.758,0.875,0.244,0.346,0.33,0.674,0.645,0.985,0.994,0.666,0.584,100,25
SCALEX,Embedding,9026,0.878,0.874,0.864,0.915,0.269,0.388,0.454,0.696,0.693,0.983,0.993,0.627,0.577,100,25
sciPENN,Embedding,9026,0.943,0.957,0.721,0.865,0.484,0.554,0.672,0.651,0.699,0.96,0.928,0.491,0.497,100,25
scMDC,Embedding,9026,0.859,0.861,0.912,0.922,0.203,0.479,0.43,0.742,0.696,0.993,0.999,0.613,0.622,100,25
Seurat v4 WNN,Graph,9026,NA,NA,0.899,0.945,0.177,0.42,0.38,0.697,0.662,0.987,0.995,NA,NA,100,25
totalVI,Embedding,9026,0.875,0.855,0.89,0.94,0.113,0.397,0.373,0.671,0.65,0.987,0.994,0.599,0.54,100,25
bindSC,Embedding,9026,0.898,0.879,0.905,0.952,0.203,0.542,0.5,0.731,0.714,0.987,0.997,0.583,0.573,100,50
CiteFuse,Graph,9026,NA,NA,1,1,0.136,0,0,0,0,0.953,0.802,NA,NA,100,50
MaxFuse,Embedding,9026,0.901,0.898,0.926,0.954,0.301,0.485,0.455,0.739,0.705,0.987,0.994,0.57,0.544,100,50
MOFA+,Embedding,9026,0.827,0.831,0.807,0.888,0.19,0.382,0.341,0.679,0.641,0.986,0.994,0.574,0.55,100,50
Multigrate,Embedding,9026,0.872,0.895,0.789,0.888,0.237,0.388,0.366,0.681,0.654,0.987,0.993,0.672,0.591,100,50
SCALEX,Embedding,9026,0.876,0.893,0.883,0.937,0.281,0.397,0.476,0.708,0.702,0.985,0.994,0.618,0.584,100,50
sciPENN,Embedding,9026,0.947,0.957,0.765,0.882,0.485,0.583,0.641,0.667,0.697,0.959,0.921,0.511,0.5,100,50
scMDC,Embedding,9026,0.859,0.821,0.921,0.856,0.181,0.446,0.418,0.737,0.692,0.993,0.999,0.545,0.63,100,50
Seurat v4 WNN,Graph,9026,NA,NA,0.933,0.96,0.153,0.405,0.366,0.685,0.654,0.987,0.993,NA,NA,100,50
totalVI,Embedding,9026,0.861,0.83,0.903,0.919,0.109,0.362,0.335,0.64,0.626,0.987,0.994,0.589,0.541,100,50
bindSC,Embedding,9026,0.896,0.874,0.901,0.948,0.191,0.48,0.486,0.714,0.707,0.989,0.997,0.585,0.575,100,75
CiteFuse,Graph,9026,NA,NA,1,1,0.109,0,0,0,0,0.955,0.813,NA,NA,100,75
MaxFuse,Embedding,9026,0.901,0.888,0.928,0.93,0.274,0.496,0.492,0.749,0.723,0.987,0.993,0.571,0.548,100,75
MOFA+,Embedding,9026,0.852,0.848,0.821,0.879,0.197,0.392,0.359,0.685,0.654,0.985,0.995,0.58,0.553,100,75
Multigrate,Embedding,9026,0.858,0.873,0.786,0.897,0.224,0.374,0.327,0.679,0.637,0.985,0.995,0.696,0.583,100,75
SCALEX,Embedding,9026,0.878,0.885,0.864,0.923,0.284,0.429,0.443,0.714,0.688,0.985,0.994,0.606,0.581,100,75
sciPENN,Embedding,9026,0.948,0.957,0.765,0.884,0.495,0.58,0.646,0.652,0.685,0.955,0.922,0.496,0.495,100,75
scMDC,Embedding,9026,0.825,0.822,0.898,0.815,0.155,0.382,0.399,0.71,0.686,0.991,0.998,0.628,0.608,100,75
Seurat v4 WNN,Graph,9026,NA,NA,0.93,0.956,0.15,0.405,0.377,0.686,0.655,0.987,0.996,NA,NA,100,75
totalVI,Embedding,9026,0.854,0.825,0.898,0.919,0.101,0.387,0.349,0.646,0.629,0.987,0.994,0.579,0.542,100,75
bindSC,Embedding,9026,0.92,0.915,0.882,0.946,0.252,0.463,0.518,0.7,0.717,0.983,0.993,0.566,0.558,10,100
CiteFuse,Graph,9026,NA,NA,1,1,0.136,0,0,0,0,0.961,0.833,NA,NA,10,100
MaxFuse,Embedding,9026,0.902,0.906,0.895,0.946,0.35,0.694,0.673,0.712,0.72,0.978,0.982,0.526,0.528,10,100
MOFA+,Embedding,9026,0.843,0.821,0.804,0.925,0.121,0.362,0.347,0.664,0.655,0.988,0.996,0.59,0.568,10,100
Multigrate,Embedding,9026,0.842,0.811,0.747,0.875,0.153,0.349,0.317,0.651,0.627,0.986,0.994,0.632,0.576,10,100
SCALEX,Embedding,9026,0.845,0.867,0.768,0.904,0.315,0.417,0.559,0.657,0.711,0.974,0.988,0.509,0.585,10,100
sciPENN,Embedding,9026,0.933,0.962,0.379,0.73,0.501,0.179,0.22,0.179,0.208,0.89,0.665,0.44,0.466,10,100
scMDC,Embedding,9026,0.862,0.863,0.867,0.74,0.228,0.403,0.452,0.697,0.698,0.988,0.999,0.571,0.623,10,100
Seurat v4 WNN,Graph,9026,NA,NA,0.88,0.935,0.124,0.389,0.352,0.657,0.64,0.982,0.991,NA,NA,10,100
totalVI,Embedding,9026,0.87,0.832,0.891,0.93,0.13,0.377,0.346,0.633,0.62,0.983,0.991,0.547,0.531,10,100
bindSC,Embedding,9026,0.926,0.926,0.844,0.933,0.336,0.656,0.744,0.685,0.734,0.978,0.983,0.535,0.545,10,10
CiteFuse,Graph,9026,NA,NA,1,1,0.112,0,0,0,0,0.963,0.856,NA,NA,10,10
MaxFuse,Embedding,9026,0.892,0.899,0.854,0.925,0.399,0.688,0.691,0.697,0.705,0.974,0.972,0.52,0.522,10,10
MOFA+,Embedding,9026,0.853,0.839,0.741,0.885,0.173,0.367,0.358,0.619,0.626,0.98,0.992,0.586,0.538,10,10
Multigrate,Embedding,9026,0.842,0.84,0.759,0.883,0.222,0.324,0.305,0.647,0.629,0.984,0.992,0.58,0.577,10,10
SCALEX,Embedding,9026,0.901,0.901,0.79,0.904,0.277,0.509,0.56,0.665,0.701,0.976,0.986,0.52,0.567,10,10
sciPENN,Embedding,9026,0.947,0.974,0.385,0.714,0.501,0.187,0.233,0.165,0.191,0.893,0.672,0.448,0.463,10,10
scMDC,Embedding,9026,0.865,0.889,0.872,0.914,0.283,0.48,0.488,0.717,0.699,0.988,0.997,0.508,0.576,10,10
Seurat v4 WNN,Graph,9026,NA,NA,0.854,0.971,0.191,0.513,0.466,0.661,0.653,0.98,0.988,NA,NA,10,10
totalVI,Embedding,9026,0.906,0.901,0.88,0.948,0.206,0.525,0.501,0.667,0.66,0.979,0.982,0.506,0.53,10,10
bindSC,Embedding,9026,0.917,0.895,0.904,0.947,0.215,0.509,0.478,0.72,0.706,0.985,0.995,0.576,0.569,25,100
CiteFuse,Graph,9026,NA,NA,1,1,0.105,0,0,0,0,0.956,0.802,NA,NA,25,100
MaxFuse,Embedding,9026,0.911,0.914,0.916,0.943,0.31,0.531,0.602,0.734,0.742,0.983,0.992,0.538,0.534,25,100
MOFA+,Embedding,9026,0.856,0.8,0.817,0.934,0.13,0.389,0.342,0.675,0.65,0.988,0.996,0.608,0.563,25,100
Multigrate,Embedding,9026,0.835,0.831,0.782,0.898,0.174,0.321,0.297,0.644,0.617,0.986,0.995,0.665,0.588,25,100
SCALEX,Embedding,9026,0.846,0.891,0.816,0.904,0.337,0.437,0.509,0.68,0.703,0.978,0.988,0.49,0.575,25,100
sciPENN,Embedding,9026,0.946,0.969,0.484,0.784,0.512,0.32,0.39,0.344,0.389,0.9,0.723,0.458,0.469,25,100
scMDC,Embedding,9026,0.865,0.841,0.86,0.798,0.177,0.394,0.42,0.69,0.674,0.989,0.998,0.721,0.601,25,100
Seurat v4 WNN,Graph,9026,NA,NA,0.885,0.936,0.138,0.394,0.372,0.665,0.649,0.985,0.993,NA,NA,25,100
totalVI,Embedding,9026,0.863,0.826,0.901,0.933,0.107,0.376,0.36,0.632,0.634,0.986,0.994,0.593,0.54,25,100
bindSC,Embedding,9026,0.918,0.904,0.885,0.916,0.276,0.491,0.489,0.721,0.713,0.984,0.993,0.555,0.562,25,25
CiteFuse,Graph,9026,NA,NA,1,1,0.099,0,0,0,0,0.958,0.827,NA,NA,25,25
MaxFuse,Embedding,9026,0.905,0.912,0.898,0.936,0.35,0.535,0.535,0.724,0.706,0.983,0.987,0.535,0.533,25,25
MOFA+,Embedding,9026,0.844,0.835,0.807,0.883,0.137,0.365,0.322,0.638,0.62,0.984,0.992,0.619,0.543,25,25
Multigrate,Embedding,9026,0.858,0.856,0.794,0.882,0.206,0.364,0.336,0.659,0.627,0.986,0.995,0.615,0.577,25,25
SCALEX,Embedding,9026,0.89,0.897,0.822,0.89,0.277,0.47,0.508,0.682,0.686,0.978,0.991,0.461,0.574,25,25
sciPENN,Embedding,9026,0.944,0.962,0.473,0.798,0.499,0.301,0.377,0.335,0.373,0.901,0.723,0.463,0.469,25,25
scMDC,Embedding,9026,0.884,0.868,0.902,0.788,0.201,0.419,0.435,0.716,0.693,0.991,0.999,0.601,0.619,25,25
Seurat v4 WNN,Graph,9026,NA,NA,0.879,0.93,0.166,0.387,0.367,0.662,0.642,0.984,0.992,NA,NA,25,25
totalVI,Embedding,9026,0.895,0.868,0.893,0.934,0.139,0.373,0.356,0.645,0.631,0.984,0.989,0.573,0.532,25,25
bindSC,Embedding,9026,0.906,0.879,0.887,0.953,0.202,0.52,0.48,0.729,0.708,0.986,0.995,0.594,0.574,50,100
CiteFuse,Graph,9026,NA,NA,1,1,0.145,0,0,0,0,0.951,0.794,NA,NA,50,100
MaxFuse,Embedding,9026,0.907,0.912,0.925,0.951,0.284,0.475,0.454,0.723,0.687,0.986,0.991,0.562,0.539,50,100
