algor,Output,nCell,Batch ASW batch,graph iLISI
cobolt,Embedding,15021,0.889,0.301
DCCA,Embedding,15021,0.933,0.417
MOFA+,Embedding,15021,0.935,0.409
Multigrate,Embedding,15021,0.943,0.439
MultiVI,Embedding,15021,0.869,0.321
scAI,Embedding,15021,0.956,0.394
scDEC,Embedding,15021,0.947,0.347
scMDC,Embedding,15021,0.94,0.391
scMVP,Embedding,15021,0.924,0.385
Seurat v4 WNN,Graph,15021,NA,0.069
uniPort,Embedding,15021,0.944,0.376
cobolt,Embedding,15021,0.901,0.329
DCCA,Embedding,15021,0.927,0.414
MOFA+,Embedding,15021,0.935,0.409
Multigrate,Embedding,15021,0.943,0.439
MultiVI,Embedding,15021,0.869,0.321
scAI,Embedding,15021,0.956,0.394
scDEC,Embedding,15021,0.946,0.362
scMDC,Embedding,15021,0.936,0.36
scMVP,Embedding,15021,0.937,0.411
Seurat v4 WNN,Graph,15021,NA,0.069
uniPort,Embedding,15021,0.944,0.376
cobolt,Embedding,15021,0.903,0.336
DCCA,Embedding,15021,0.932,0.42
MOFA+,Embedding,15021,0.935,0.409
Multigrate,Embedding,15021,0.943,0.439
MultiVI,Embedding,15021,0.869,0.321
scAI,Embedding,15021,0.956,0.394
scDEC,Embedding,15021,0.956,0.351
scMDC,Embedding,15021,0.936,0.385
scMVP,Embedding,15021,0.945,0.396
Seurat v4 WNN,Graph,15021,NA,0.069
uniPort,Embedding,15021,0.944,0.376
cobolt,Embedding,15021,0.902,0.333
DCCA,Embedding,15021,0.934,0.409
MOFA+,Embedding,15021,0.935,0.409
Multigrate,Embedding,15021,0.943,0.439
MultiVI,Embedding,15021,0.869,0.321
scAI,Embedding,15021,0.956,0.394
scDEC,Embedding,15021,0.958,0.324
scMDC,Embedding,15021,0.938,0.396
scMVP,Embedding,15021,0.938,0.383
Seurat v4 WNN,Graph,15021,NA,0.069
uniPort,Embedding,15021,0.944,0.376
cobolt,Embedding,15021,0.891,0.305
DCCA,Embedding,15021,0.931,0.424
MOFA+,Embedding,15021,0.935,0.409
Multigrate,Embedding,15021,0.943,0.439
MultiVI,Embedding,15021,0.869,0.321
scAI,Embedding,15021,0.956,0.394
scDEC,Embedding,15021,0.951,0.39
scMDC,Embedding,15021,0.923,0.372
scMVP,Embedding,15021,0.944,0.366
Seurat v4 WNN,Graph,15021,NA,0.069
uniPort,Embedding,15021,0.944,0.376
