algor,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1
cobolt,Embedding,6924,0.82,0.856,0.877,0.929,0.297,0.347,0.407,0.576,0.588,0.954,0.953,0.463,0.606
DCCA,Embedding,6924,0.829,0.839,0.931,0.963,0.234,0.436,0.441,0.648,0.625,0.968,0.976,0.619,0.617
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555
scDEC,Embedding,6924,0.935,0.954,0.881,0.9,0.382,0.313,0.434,0.527,0.585,0.923,0.904,0.407,0.51
scMDC,Embedding,6924,0.88,0.913,0.925,0.978,0.285,0.595,0.534,0.731,0.679,0.984,0.987,0.305,0.495
scMVAE,Embedding,6924,0.875,0.875,0.976,0.989,0.236,0.395,0.476,0.604,0.626,0.95,0.941,0.674,0.602
scMVP,Embedding,6924,0.875,0.869,0.959,0.98,0.192,0.517,0.475,0.713,0.683,0.98,0.984,0.585,0.524
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454
cobolt,Embedding,6924,0.815,0.868,0.903,0.958,0.301,0.394,0.437,0.623,0.625,0.961,0.966,0.451,0.625
DCCA,Embedding,6924,0.814,0.83,0.937,0.977,0.235,0.435,0.429,0.644,0.631,0.97,0.975,0.611,0.616
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555
scDEC,Embedding,6924,0.91,0.945,0.784,0.857,0.316,0.318,0.382,0.429,0.451,0.871,0.803,0.405,0.651
scMDC,Embedding,6924,0.887,0.911,0.913,0.928,0.263,0.581,0.538,0.725,0.686,0.984,0.986,0.277,0.512
scMVAE,Embedding,6924,0.88,0.885,0.983,0.985,0.223,0.403,0.449,0.615,0.62,0.956,0.951,0.692,0.618
scMVP,Embedding,6924,0.882,0.883,0.961,0.968,0.203,0.52,0.486,0.727,0.679,0.981,0.985,0.617,0.512
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454
cobolt,Embedding,6924,0.821,0.852,0.882,0.906,0.286,0.351,0.376,0.568,0.572,0.953,0.946,0.457,0.593
DCCA,Embedding,6924,0.83,0.846,0.941,0.968,0.251,0.462,0.46,0.652,0.63,0.971,0.977,0.624,0.623
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555
scDEC,Embedding,6924,0.903,0.939,0.885,0.954,0.362,0.378,0.536,0.557,0.62,0.919,0.9,0.442,0.516
scMDC,Embedding,6924,0.89,0.901,0.918,0.939,0.249,0.564,0.525,0.725,0.689,0.984,0.986,0.259,0.503
scMVAE,Embedding,6924,0.878,0.867,0.986,0.986,0.202,0.388,0.474,0.587,0.63,0.953,0.942,0.678,0.61
scMVP,Embedding,6924,0.867,0.864,0.956,0.973,0.19,0.564,0.508,0.715,0.694,0.98,0.984,0.618,0.516
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454
cobolt,Embedding,6924,0.798,0.853,0.875,0.927,0.288,0.371,0.401,0.577,0.584,0.953,0.95,0.453,0.616
DCCA,Embedding,6924,0.837,0.843,0.934,0.977,0.228,0.43,0.483,0.63,0.634,0.965,0.971,0.621,0.614
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555
scDEC,Embedding,6924,0.913,0.932,0.893,0.96,0.351,0.255,0.334,0.455,0.505,0.895,0.855,0.431,0.616
scMDC,Embedding,6924,0.886,0.909,0.961,0.94,0.269,0.605,0.552,0.741,0.7,0.983,0.988,0.376,0.485
scMVAE,Embedding,6924,0.874,0.876,0.976,0.988,0.221,0.482,0.531,0.641,0.644,0.957,0.949,0.696,0.634
scMVP,Embedding,6924,0.878,0.849,0.974,0.975,0.189,0.422,0.438,0.674,0.665,0.981,0.986,0.575,0.493
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454
cobolt,Embedding,6924,0.822,0.864,0.86,0.893,0.297,0.393,0.398,0.583,0.58,0.954,0.952,0.442,0.59
DCCA,Embedding,6924,0.832,0.857,0.943,0.964,0.253,0.476,0.483,0.656,0.639,0.972,0.978,0.636,0.61
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555
scDEC,Embedding,6924,0.919,0.918,0.845,0.933,0.301,0.25,0.368,0.469,0.529,0.895,0.855,0.402,0.671
scMDC,Embedding,6924,0.878,0.911,0.942,0.984,0.274,0.611,0.588,0.734,0.705,0.983,0.985,0.305,0.491
scMVAE,Embedding,6924,0.863,0.861,0.964,0.99,0.204,0.445,0.516,0.624,0.642,0.965,0.961,0.703,0.626
scMVP,Embedding,6924,0.863,0.889,0.95,0.944,0.296,0.579,0.629,0.723,0.717,0.977,0.981,0.513,0.486
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454
