algor,Output,nCell,graph connectivity,ARI,AMI,graph cLISI
cobolt,Embedding,34774,0.85,0.191,0.449,0.964
MOFA+,Embedding,34774,0.929,0.286,0.525,0.967
Multigrate,Embedding,34774,0.944,0.387,0.579,0.975
MultiVI,Embedding,34774,0.873,0.286,0.523,0.97
scMDC,Embedding,34774,0.968,0.463,0.674,0.987
scMVP,Embedding,34774,0.96,0.324,0.561,0.962
Seurat v4 WNN,Graph,34774,0.973,0.464,0.692,0.993
uniPort,Embedding,34774,0.227,0,0.001,0.705
cobolt,Embedding,34774,0.861,0.199,0.441,0.964
MOFA+,Embedding,34774,0.929,0.286,0.525,0.967
Multigrate,Embedding,34774,0.944,0.387,0.579,0.975
MultiVI,Embedding,34774,0.873,0.286,0.523,0.97
scMDC,Embedding,34774,0.971,0.512,0.693,0.988
scMVP,Embedding,34774,0.959,0.349,0.56,0.962
Seurat v4 WNN,Graph,34774,0.973,0.464,0.692,0.993
uniPort,Embedding,34774,0.227,0,0.001,0.705
cobolt,Embedding,34774,0.851,0.211,0.442,0.962
MOFA+,Embedding,34774,0.929,0.286,0.525,0.967
Multigrate,Embedding,34774,0.944,0.387,0.579,0.975
MultiVI,Embedding,34774,0.873,0.286,0.523,0.97
scMDC,Embedding,34774,0.969,0.446,0.672,0.988
scMVP,Embedding,34774,0.962,0.355,0.554,0.963
Seurat v4 WNN,Graph,34774,0.973,0.464,0.692,0.993
uniPort,Embedding,34774,0.227,0,0.001,0.705
cobolt,Embedding,34774,0.873,0.187,0.453,0.964
MOFA+,Embedding,34774,0.929,0.286,0.525,0.967
Multigrate,Embedding,34774,0.944,0.387,0.579,0.975
MultiVI,Embedding,34774,0.873,0.286,0.523,0.97
scMDC,Embedding,34774,0.973,0.473,0.682,0.989
scMVP,Embedding,34774,0.955,0.397,0.595,0.971
Seurat v4 WNN,Graph,34774,0.973,0.464,0.692,0.993
uniPort,Embedding,34774,0.227,0,0.001,0.705
cobolt,Embedding,34774,0.869,0.21,0.453,0.961
MOFA+,Embedding,34774,0.929,0.286,0.525,0.967
Multigrate,Embedding,34774,0.944,0.387,0.579,0.975
MultiVI,Embedding,34774,0.873,0.286,0.523,0.97
scMDC,Embedding,34774,0.972,0.487,0.678,0.988
scMVP,Embedding,34774,0.957,0.417,0.591,0.97
Seurat v4 WNN,Graph,34774,0.973,0.464,0.692,0.993
uniPort,Embedding,34774,0.227,0,0.001,0.705
