method,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,RNA,ATAC
cobolt,Embedding,6924,0.822,0.857,0.897,0.944,0.284,0.417,0.484,0.588,0.604,0.952,0.947,0.455,0.582,100,10
DCCA,Embedding,6924,0.827,0.85,0.937,0.97,0.236,0.456,0.422,0.669,0.632,0.974,0.98,0.536,0.577,100,10
MOFA+,Embedding,6924,0.846,0.862,0.933,0.952,0.283,0.399,0.395,0.624,0.6,0.964,0.963,0.569,0.618,100,10
Multigrate,Embedding,6924,0.834,0.913,0.93,0.953,0.345,0.581,0.5,0.716,0.669,0.978,0.98,0.46,0.49,100,10
MultiVI,Embedding,6924,0.765,0.845,0.83,0.892,0.283,0.324,0.33,0.545,0.546,0.95,0.936,0.412,0.539,100,10
scAI,Embedding,6924,0.88,0.833,0.945,0.958,0.211,0.488,0.472,0.701,0.667,0.981,0.983,0.672,0.56,100,10
scDEC,Embedding,6924,0.873,0.876,0.914,0.908,0.234,0.359,0.422,0.601,0.605,0.958,0.963,0.638,0.447,100,10
scMDC,Embedding,6924,0.866,0.906,0.961,0.939,0.274,0.601,0.588,0.721,0.698,0.981,0.983,0.385,0.495,100,10
scMVAE,Embedding,6924,0.879,0.864,0.972,0.968,0.206,0.446,0.503,0.654,0.657,0.957,0.949,0.684,0.614,100,10
scMVP,Embedding,6924,0.882,0.868,0.959,0.963,0.21,0.521,0.531,0.716,0.697,0.979,0.986,0.615,0.501,100,10
Seurat v4 WNN,Graph,6924,NA,NA,0.98,0.974,0.285,0.554,0.468,0.715,0.663,0.984,0.986,NA,NA,100,10
uniPort,Embedding,6924,0.837,0.888,0.826,0.89,0.37,0.391,0.429,0.575,0.586,0.948,0.935,0.487,0.484,100,10
cobolt,Embedding,6924,0.812,0.843,0.905,0.949,0.286,0.318,0.354,0.575,0.576,0.952,0.949,0.515,0.602,100,25
DCCA,Embedding,6924,0.829,0.837,0.949,0.977,0.211,0.5,0.488,0.679,0.655,0.975,0.979,0.628,0.593,100,25
MOFA+,Embedding,6924,0.847,0.853,0.947,0.982,0.266,0.376,0.349,0.62,0.595,0.969,0.972,0.577,0.623,100,25
Multigrate,Embedding,6924,0.826,0.897,0.933,0.949,0.327,0.523,0.488,0.71,0.681,0.981,0.987,0.589,0.495,100,25
MultiVI,Embedding,6924,0.807,0.844,0.886,0.949,0.271,0.336,0.365,0.564,0.57,0.954,0.95,0.581,0.571,100,25
scAI,Embedding,6924,0.883,0.852,0.957,0.975,0.186,0.453,0.389,0.691,0.644,0.979,0.982,0.669,0.554,100,25
scDEC,Embedding,6924,0.864,0.865,0.879,0.896,0.201,0.324,0.391,0.576,0.588,0.949,0.938,0.637,0.623,100,25
scMDC,Embedding,6924,0.881,0.904,0.849,0.802,0.282,0.584,0.553,0.732,0.696,0.986,0.989,0.263,0.239,100,25
scMVAE,Embedding,6924,0.887,0.885,0.981,0.991,0.22,0.504,0.564,0.665,0.679,0.954,0.945,0.701,0.618,100,25
scMVP,Embedding,6924,0.883,0.878,0.954,0.965,0.211,0.608,0.593,0.729,0.708,0.977,0.982,0.59,0.506,100,25
Seurat v4 WNN,Graph,6924,NA,NA,0.981,0.973,0.267,0.546,0.495,0.721,0.677,0.985,0.987,NA,NA,100,25
uniPort,Embedding,6924,0.828,0.904,0.743,0.865,0.364,0.32,0.404,0.512,0.553,0.941,0.919,0.481,0.463,100,25
cobolt,Embedding,6924,0.818,0.856,0.891,0.951,0.28,0.373,0.405,0.579,0.581,0.951,0.944,0.46,0.589,100,50
DCCA,Embedding,6924,0.833,0.871,0.953,0.972,0.246,0.416,0.422,0.644,0.635,0.969,0.978,0.636,0.591,100,50
MOFA+,Embedding,6924,0.85,0.849,0.945,0.976,0.241,0.429,0.379,0.64,0.605,0.971,0.977,0.567,0.616,100,50
Multigrate,Embedding,6924,0.819,0.891,0.932,0.945,0.345,0.556,0.502,0.712,0.673,0.978,0.982,0.473,0.49,100,50
MultiVI,Embedding,6924,0.795,0.824,0.892,0.936,0.265,0.356,0.377,0.597,0.594,0.959,0.958,0.535,0.588,100,50
scAI,Embedding,6924,0.872,0.864,0.953,0.969,0.194,0.459,0.409,0.678,0.637,0.978,0.981,0.663,0.554,100,50
scDEC,Embedding,6924,0.857,0.882,0.907,0.952,0.18,0.362,0.402,0.568,0.578,0.952,0.944,0.618,0.554,100,50
scMDC,Embedding,6924,0.88,0.903,0.861,0.844,0.266,0.622,0.592,0.734,0.702,0.984,0.988,0.257,0.22,100,50
scMVAE,Embedding,6924,0.887,0.886,0.976,0.99,0.227,0.469,0.533,0.635,0.646,0.952,0.939,0.694,0.627,100,50
scMVP,Embedding,6924,0.879,0.876,0.966,0.972,0.206,0.519,0.488,0.718,0.682,0.977,0.983,0.601,0.517,100,50
Seurat v4 WNN,Graph,6924,NA,NA,0.982,0.977,0.261,0.543,0.452,0.728,0.671,0.986,0.987,NA,NA,100,50
uniPort,Embedding,6924,0.837,0.899,0.791,0.883,0.379,0.358,0.441,0.548,0.575,0.943,0.93,0.501,0.473,100,50
cobolt,Embedding,6924,0.827,0.857,0.881,0.92,0.29,0.37,0.407,0.581,0.58,0.953,0.952,0.444,0.596,100,75
DCCA,Embedding,6924,0.837,0.848,0.93,0.969,0.241,0.416,0.446,0.648,0.636,0.973,0.979,0.608,0.592,100,75
MOFA+,Embedding,6924,0.85,0.847,0.943,0.972,0.251,0.443,0.376,0.657,0.612,0.971,0.975,0.563,0.609,100,75
Multigrate,Embedding,6924,0.826,0.906,0.921,0.932,0.388,0.623,0.571,0.73,0.701,0.98,0.986,0.381,0.463,100,75
MultiVI,Embedding,6924,0.803,0.848,0.92,0.937,0.272,0.329,0.376,0.596,0.608,0.96,0.956,0.495,0.62,100,75
scAI,Embedding,6924,0.878,0.855,0.946,0.96,0.195,0.442,0.414,0.667,0.634,0.978,0.981,0.662,0.554,100,75
scDEC,Embedding,6924,0.856,0.885,0.865,0.836,0.26,0.483,0.501,0.635,0.611,0.96,0.954,0.535,0.542,100,75
scMDC,Embedding,6924,0.869,0.907,0.898,0.954,0.275,0.607,0.544,0.731,0.681,0.985,0.986,0.314,0.491,100,75
scMVAE,Embedding,6924,0.849,0.845,0.942,0.98,0.213,0.426,0.43,0.629,0.626,0.962,0.963,0.667,0.611,100,75
scMVP,Embedding,6924,0.879,0.872,0.963,0.977,0.201,0.439,0.421,0.686,0.66,0.98,0.983,0.611,0.514,100,75
Seurat v4 WNN,Graph,6924,NA,NA,0.982,0.981,0.26,0.545,0.459,0.731,0.674,0.986,0.988,NA,NA,100,75
uniPort,Embedding,6924,0.839,0.891,0.832,0.865,0.364,0.345,0.448,0.555,0.586,0.945,0.928,0.502,0.484,100,75
